County,nbr_sing_household,nbr_household,percent_single,Rural,Population,Math,Read,Grad_Rate,poor_health,poor_sleep,Cost_Burden,Uninsured_health,Physicians,food_Insecure,Life_Expectancy
Robertson,1260,4054,31,12276,17284,2.7,2.7,94,3280,5777,678,2571,1,2930,75.8
Rockwall,4274,25604,17,12562,100657,3.5,3.2,97,13583,30384,3378,11401,76,10770,80.9
Runnels,822,2357,35,4280,10234,2.9,2.6,96,2136,3230,333,1689,7,1420,77.5
Rusk,3574,12140,29,35130,54450,3.1,2.9,95,11585,16246,1676,8086,11,9620,76.8
Sabine,526,1956,27,10834,10589,2.8,2.7,95,2038,3275,584,1547,2,2210,74.5
San Augustine,628,1668,38,8865,8232,2.5,2.4,96,1694,2800,302,1146,2,1970,73.7
San Jacinto,1643,5950,28,26384,28719,2.6,2.4,91,5677,9355,808,5088,3,5010,76.5
San Patricio,6746,18048,37,12734,66893,2.9,2.7,93,15380,21403,2331,10748,18,8280,76.2
San Saba,280,1149,24,3026,6054,3.3,2.9,99,1291,1892,223,1168,2,870,77.5
Schleicher,85,842,10,3461,2895,3.4,3,100,530,878,84,626,0,260,78.2
Scurry,1157,4287,27,5364,16866,2.8,2.7,90,3338,5194,341,2383,9,2130,77.2
Shackelford,273,775,35,3378,3253,3.2,3,100,537,970,119,549,1,540,81.9
Shelby,2375,6832,35,20214,25418,2.9,2.7,93,5589,8774,869,5150,5,5280,75.1
Sherman,150,710,21,3034,3079,2.7,2.7,96,572,950,62,767,0,320,80.1
Smith,16678,55040,30,66286,230221,3,2.8,92,42572,76815,9782,36912,232,40500,78.3
Somervell,686,1966,35,8490,9016,3.5,3.4,88,1611,2797,329,1415,6,1480,77.3
Starr,8849,21164,42,14453,64525,3.1,2.7,93,25092,22838,1638,16015,13,8190,79.1
Stephens,785,2109,37,3791,9433,3.1,2.8,88,1886,3016,282,1793,3,1560,76.1
Sterling,214,327,65,1143,1311,2.4,2.8,100,280,427,13,239,0,130,79
Stonewall,97,308,31,1490,1362,3.7,3.3,100,236,412,21,229,1,160,79
Sutton,320,953,34,776,3758,3.4,2.8,96,709,1141,62,671,3,310,81.4
Swisher,734,1900,39,2951,7462,2.9,2.6,92,1871,2406,237,1241,1,1140,75.8
Tarrant,177329,537120,33,23304,2084931,3.1,2.9,91,415851,723866,89430,331573,1196,316980,79.1
Taylor,11635,33190,35,21085,137640,3.1,3,90,25798,43152,5760,18841,97,22660,75.8
Terrell,38,113,34,984,823,3.1,3.1,92,206,257,29,162,0,90,79
Terry,1163,3451,34,3121,12287,2.7,2.5,96,2973,4011,387,2380,4,1460,75.5
Throckmorton,121,308,39,1641,1515,2.8,3,96,256,437,47,303,1,260,79
Titus,3067,9513,32,16347,33033,3.1,2.9,97,7530,10898,940,6988,18,4990,77.6
Tom Green,9040,27685,33,17240,118189,3,2.9,93,22709,39214,4813,17141,78,15270,77.8
Travis,78067,267115,29,55961,1248743,3.2,3,89,185748,357721,70498,158704,1043,171740,81.8
Trinity,1012,2949,34,11265,14740,3.1,2.6,94,2975,4624,524,2192,2,2800,72.7
Tyler,1112,4031,28,17006,21696,3.1,2.6,96,3701,6565,657,2546,5,4150,75.7
Upshur,2593,9757,27,31172,41260,3.1,2.8,95,6669,13014,1330,6106,12,7270,75
Upton,349,1056,33,3355,3671,2.4,2.6,93,796,1170,78,706,2,430,78.1
Uvalde,3667,7343,50,8287,26846,2.6,2.6,89,7256,8708,744,4959,12,2430,79
Val Verde,4694,14001,34,4965,49208,2.9,2.6,83,14489,15987,1576,9222,14,4580,79.1
Van Zandt,3167,12372,26,39444,56019,3,3,92,9253,17000,1867,9311,10,8690,76.4
Victoria,7842,23098,34,23110,92035,2.9,2.6,87,20212,29626,3695,14200,72,11820,78.4
Walker,2945,10681,28,30933,72480,2.7,2.6,77,15368,24752,4096,8985,20,15950,78.4
Waller,3261,12074,27,26632,53126,2.9,2.8,95,11290,18346,1902,9875,6,8770,79.4
Ward,564,3168,18,2972,11720,2.9,2.6,95,2457,3686,324,2071,3,1160,74.8
Washington,2392,7567,32,18036,35108,3.1,2.9,91,6372,10697,1465,5111,21,5850,80.2
Webb,35544,90988,39,6507,275910,3.1,2.7,93,95886,98229,12132,69387,89,25250,80.3
Wharton,3950,10755,37,20597,41619,3,2.7,96,9580,13467,1763,7477,16,6250,76.9
Wheeler,451,1404,32,5410,5191,3.3,2.7,95,987,1585,237,1068,2,910,74.5
Wichita,10852,29446,37,14027,132064,2.9,2.8,97,30214,49183,6806,17790,95,24410,75.5
Wilbarger,1360,2872,47,2963,12820,2.8,2.7,85,2693,4020,419,2245,6,2140,76
Willacy,2377,5212,46,7653,21515,2.8,2.6,88,8064,7653,574,3370,8,3070,77.7
Williamson,29694,137654,22,50679,566719,3.4,3.2,95,85533,180301,17388,54780,376,63750,82
Wilson,2834,11752,24,36850,50224,3,2.9,94,8712,15302,1340,6890,24,4530,79.5
Winkler,629,2353,27,1289,7720,2.6,2.6,99,1834,2463,203,1414,2,820,74.6
Wise,3967,15965,25,42635,68305,3,2.9,97,11310,21030,2197,12598,27,9150,76.2
Wood,3051,8458,36,31137,45129,2.9,2.9,95,7207,13220,2105,6362,21,7220,77
Yoakum,256,2827,9,2941,8591,2.6,2.6,98,1922,2704,120,1825,3,610,78.2
Young,1429,4232,34,6227,18045,3,2.9,97,3264,5280,616,3281,12,2820,74.4
Zapata,1896,4754,40,3299,14190,2.6,2.1,90,5053,4917,459,3596,1,1620,78.3
Zavala,2259,3583,63,4441,11983,2.6,2.2,92,4912,4184,327,1865,2,1730,75.8
